,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
144,10/20/1972,04:33:48,20.689,-29.738000000000003,Earthquake,15.0,,,6.0,MW,,,,,,,ISCGEM768533,ISCGEM,ISCGEM,ISCGEM,Automatic
145,10/29/2003,21:10:21,-49.038000000000004,124.715,Earthquake,10.0,,94.0,5.5,MWC,,,37.3,,,0.97,USP000CBK0,US,US,HRV,Reviewed
146,01/28/2000,22:42:26,-1.347,89.083,Earthquake,10.0,,,5.5,MWC,,,,,,0.99,USP0009MSZ,US,US,HRV,Reviewed
147,12/18/1972,01:18:57,-16.64,28.017,Earthquake,15.0,,,5.6,MW,,,,,,,ISCGEM766294,ISCGEM,ISCGEM,ISCGEM,Automatic
148,04/24/2011,21:09:33,-35.704,-16.994,Earthquake,10.0,,41.0,5.6,MWW,,,66.5,,,1.51,USP000J0H6,US,US,US,Reviewed
149,04/03/1987,01:17:08,49.928000000000004,78.829,Nuclear Explosion,0.0,,,6.2,MB,,118.0,,,,0.9,USP00033VD,US,US,US,Reviewed
150,03/09/1973,19:09:13,-34.131,150.266,Earthquake,13.0,,,5.5,MB,,,,,,,USP00000W5,US,US,US,Reviewed
151,05/28/1977,15:10:13,-64.944,175.687,Earthquake,33.0,,,5.7,MB,,,,,,,USP0000P2J,US,US,US,Reviewed
152,11/16/1983,16:13:00,19.43,-155.454,Earthquake,12.0,,,6.7,MW,,,,,,,USP0001ZVX,US,HVO,NC,Reviewed
153,05/03/1973,23:11:06,-46.102,73.202,Earthquake,33.0,,,5.5,MS,,,,,,,USP00001PW,US,US,US,Reviewed
154,04/25/1976,22:21:41,-47.571999999999996,99.919,Earthquake,33.0,,,5.8,MS,,,,,,,USP0000G1X,US,US,US,Reviewed
155,06/16/1973,14:43:47,44.98,-125.774,Earthquake,33.0,,,5.6,MB,,,,,,,USP000026K,US,US,US,Reviewed
156,10/27/2004,20:34:37,45.787,26.622,Earthquake,95.8,,681.0,5.9,MWB,,,9.8,,,0.94,USP000D778,US,US,US,Reviewed
