,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
249,35:34.1,58.427,-175.45,20.2,6.5,Ms,472.0,,,0.97,NEI,1991022140.0
250,28:03.9,60.873999999999995,167.007,10.0,6.1,Mb,54.0,,,1.1,NEI,2006042040.0
251,19:49.6,-13.107999999999999,-72.187,104.5,6.5,Unk,449.0,,,1.17,NEI,1991070640.0
252,05:28.3,-17.91,-116.001,8.5,6.0,Mb,384.0,,,0.99,NEI,1991090340.0
253,20:32.8,33.376999999999995,71.317,16.3,6.0,Mb,432.0,,,1.07,NEI,1992052040.0
254,55:04.2,19.613,-77.872,23.1,6.9,Ms,492.0,,,0.94,NEI,1992052540.0
255,12:57.5,42.1,73.543,33.0,6.1,Mb,61.0,,,1.23,NEI,1992081940.0
256,06:51.7,-1.41,-14.921,7.0,6.2,Mw,376.0,,,1.49,NEI,2007050440.0
257,57:26.5,-6.087000000000001,26.651,10.8,6.7,Mb,642.0,,,0.98,NEI,1992091140.0
258,22:40.7,-6.817,143.80700000000002,10.0,6.6,Mw,356.0,,,1.07,NEI,2000030340.0
259,39:26.2,38.649,133.465,448.3,6.6,Unk,657.0,,,0.94,NEI,1993011940.0
260,50:13.4,19.072,-26.476,12.0,6.2,Ms,602.0,,,0.91,NEI,1993052940.0
261,53:03.8,-24.601,-111.88799999999999,10.0,6.1,Ms,124.0,,,1.07,NEI,1993070640.0
262,41:55.6,7.414,-72.033,11.6,6.3,Mb,487.0,,,0.91,NEI,1994053140.0
263,16:09.5,-54.43899999999999,-119.333,10.0,6.0,Ms,153.0,,,1.2,NEI,1993072240.0
264,45:35.2,42.3575,-122.0583,10.3,6.0,Mc,17.0,128.0,77.0,0.08,UW,
265,37:33.0,-53.651,-51.621,33.0,6.6,Ms,189.0,,,1.19,NEI,1993092740.0
266,25:48.6,18.066,76.45100000000001,6.8,6.3,Mb,625.0,,,0.98,NEI,1993092940.0
267,42:32.7,38.19,88.663,14.1,6.3,Ms,556.0,,,1.12,NEI,1993100240.0
268,53:41.5,-13.74,-68.788,586.0,6.7,Me,488.0,,,0.91,NEI,1997112810.0
269,34:10.0,0.593,30.037,14.2,6.0,Ms,413.0,,,1.14,NEI,1994020540.0
270,16:26.9,-10.786,-128.798,15.0,6.6,Ms,373.0,,,1.3,NEI,1994021240.0
271,02:04.7,30.853,60.596000000000004,6.0,6.1,Ms,510.0,,,1.0,NEI,1994022340.0
