,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1318,54:07.0,-7.292999999999999,-77.88600000000001,129.9,6.0,Mw,522.0,,,0.74,NEI,2005041140.0
1319,09:05.1,-6.226,103.139,17.0,6.3,Mw,429.0,,,0.91,NEI,2005051040.0
1320,15:35.3,-57.382,-139.231,10.0,6.5,Mw,249.0,,,1.26,NEI,2005051240.0
1321,37:41.7,5.439,93.35700000000001,2.5,6.1,Mw,105.0,,,1.28,NEI,2005051840.0
1322,40:42.4,-24.529,178.84,565.3,6.0,Mw,334.0,,,0.92,NEI,2005052040.0
1323,11:35.4,-3.286,-80.987,39.5,6.3,Mw,487.0,,,0.98,NEI,2005052140.0
1324,39:07.6,-20.043,-68.96300000000001,120.0,6.2,Mw,404.0,,,0.9,NEI,2008032441.0
1325,15:16.2,-44.85,-80.453,10.0,6.1,Mw,80.0,,,1.46,NEI,2007050740.0
1326,42:06.2,7.92,92.19,16.0,7.2,Mw,636.0,,,0.93,NEI,2005072440.0
1327,17:46.0,-47.09,33.62,10.0,6.2,Mw,241.0,,,1.19,NEI,2005080740.0
1328,35:26.1,-14.449000000000002,-177.293,10.0,6.0,Mw,277.0,,,0.95,NEI,2005080740.0
1329,41:28.1,20.29,146.055,11.0,6.0,Mw,389.0,,,0.95,NEI,2005112840.0
1330,58:34.9,3.0039999999999996,123.073,443.9,6.0,Mw,303.0,,,0.89,NEI,2005090440.0
1331,55:37.7,-5.678,-76.398,115.0,7.5,Mw,696.0,,,0.88,NEI,2005092640.0
1332,06:17.0,46.816,154.113,42.8,6.1,Mw,604.0,,,0.82,NEI,2005101540.0
1333,51:08.1,25.309,123.351,192.0,6.4,Mw,774.0,,,0.88,NEI,2005101540.0
1334,19:56.6,-6.224,29.83,22.0,6.8,Mw,561.0,,,0.98,NEI,2005120540.0
1335,30:16.9,12.347999999999999,141.487,10.0,6.2,Mw,280.0,,,1.11,NEI,2010081440.0
1336,32:32.4,28.164,-112.117,14.0,6.6,Mw,323.0,,,1.25,NEI,2006010440.0
1337,34:55.6,36.311,23.212,66.0,6.7,Mw,769.0,,,1.34,NEI,2006010840.0
1338,58:29.1,-7.8260000000000005,122.59700000000001,264.8,6.1,Mw,339.0,,,0.99,NEI,2006011540.0
1339,58:53.7,-5.473,128.131,397.0,7.6,Mw,560.0,,,0.88,NEI,2006012740.0
1340,27:23.3,20.820999999999998,146.18,40.0,6.3,Mw,279.0,,,0.86,NEI,2006021440.0
1341,19:07.8,-21.324,33.583,11.0,7.0,Mw,412.0,,,1.37,NEI,2006022240.0
1342,15:45.2,-17.995,-179.59,622.4,6.1,Mw,387.0,,,0.9,NEI,2006022440.0
1343,55:55.3,0.7909999999999999,-26.125,10.0,6.0,Mw,209.0,,,1.29,NEI,2006030940.0
1344,34:31.2,-60.2627,-47.0621,9.97,6.9,Mw,,17.0,8.0,0.84,us,2013111620.0
1345,17:01.0,33.5,48.78,7.0,6.1,Mw,586.0,,,1.06,NEI,2006033140.0
1346,30:44.6,-16.527,176.989,14.0,6.5,Mw,247.0,,,1.15,NEI,2006040740.0
1347,36:59.1,2.4330000000000003,93.21,19.0,7.2,Mw,443.0,,,1.09,NEI,2012011020.0
1348,12:00.8,60.772,165.743,19.0,6.6,Mw,548.0,,,1.02,NEI,2006052240.0
1349,14:15.3,61.354,167.525,12.0,6.1,Mw,491.0,,,0.82,NEI,2006042141.0
1350,58:06.3,60.49100000000001,167.516,11.0,6.6,Mw,645.0,,,0.78,NEI,2006042940.0
1351,28:25.9,0.09300000000000001,97.05,12.0,6.8,Mw,701.0,,,0.82,NEI,2006051640.0
1352,53:57.4,-4.715,126.811,2.8,6.1,Mw,109.0,,,1.33,NEI,2006052240.0
1353,28:02.1,33.028,-39.702,9.0,6.0,Mw,522.0,,,0.87,NEI,2006061840.0
1354,39:32.9,52.23,176.158,17.0,6.2,Mw,544.0,,,1.04,NEI,2006062740.0
1355,42:41.4,-28.715,-72.543,10.0,6.2,Mw,436.0,,,1.01,NEI,2006071640.0
1356,19:26.7,-9.283999999999999,107.419,20.0,7.7,Mw,357.0,,,1.16,NEI,2006071740.0
1357,41:48.0,-61.028999999999996,-34.371,13.0,7.0,Mw,322.0,,,1.01,NEI,2006082040.0
1358,30:55.7,-28.944000000000003,-68.898,114.0,6.0,Mw,424.0,,,1.02,NEI,2006091240.0
1359,45:23.9,-3.08,129.441,17.0,6.3,Mw,209.0,,,1.16,NEI,2006091640.0
1360,54:50.0,-9.05,110.365,25.0,6.0,Mw,237.0,,,1.13,NEI,2006092140.0
1361,08:26.2,10.876,-61.756,53.0,6.1,Mw,603.0,,,0.92,NEI,2006092940.0
1362,14:12.1,20.129,-155.9857,18.92,6.0,Unk,40.0,153.0,22.0,0.12,HV,60004.0
1363,53:21.8,-13.582,-76.558,21.0,6.0,Mw,277.0,,,0.95,NEI,2009020240.0
1364,26:35.9,-26.052,-63.283,572.0,6.8,Mw,480.0,,,0.94,NEI,2006111340.0
1365,21:01.3,-6.39,127.99799999999999,345.0,6.1,Mw,286.0,,,0.87,NEI,2006111440.0
